       match_id               subtype    team
272        1832                  shot    9825
273        1832             clearance   10252
274        1832                  shot   10252
275        1833                  shot    8668
276        1833            loose_ball    8668
277        1834                  shot    8456
278        1834                  shot    8456
279        1834                  shot    8456
280        1834                  shot    8456
281        1834            loose_ball    8667
282        1834                  shot    8456
283        1835                  shot    8462
284        1835                  shot    8654
285        1835              freekick    8462
286        1835                  shot    8654
287        1835                  shot    8654
288        1835                  shot    8654
289        1836                  shot   10260
290        1837       direct_freekick    8528
291        1837              freekick    8528
292        1837             clearance   10261
293        1838                header    8455
294        1838                  shot    8455
295        1839              distance    8549
296        1839               penalty    8549
297        1839              distance    8650
298        1840                  shot    8472
299        1840            loose_ball    8586
300        1840                header    8472
301        1841                header   10261
302        1842                  shot    8456
303        1842                  shot    8456
304        1842                  shot    8456
305        1843                  shot    8655
306        1843                header    8667
307        1844                volley    9879
308        1845                header    8668
309        1845                  shot    8668
310        1845                header    8668
311        1845             clearance    8659
312        1846                  shot   10260
313        1847                header   10194
314        1847                  shot   10252
315        1847                  shot   10194
316        1847                  shot   10252
317        1847                header   10194
318        1848       direct_freekick    8455
319        1849            loose_ball   10260
320        1850                header    9825
321        1851                header   10194
322        1851                  shot    8654
323        1851                  shot    8654
324        1852       direct_freekick    8668
325        1852             deflected    8668
326        1852                  shot    8668
327        1853                  shot    8650
328        1853                  shot   10261
329        1853                header    8650
330        1853                header   10261
331        1853                  shot    8650
332        1853                  shot    8650
333        1853              freekick    8650
334        1853                  shot    8650
335        1854                  shot    8655
336        1854                header    8655
337        1854                volley    8456
338        1854                  shot    8456
339        1855                  shot    9879
340        1855                  shot    8455
341        1855       direct_freekick    8455
342        1855                header    9879
343        1856               penalty    8528
344        1857                header    8659
345        1857                  shot    8659
346        1858              distance    8667
347        1859                header   10260
348        1859                volley   10260
349        1859                volley   10260
350        1860                  shot    9825
351        1861                header   10252
352        1861               penalty    8659
353        1861             deflected    8659
354        1862                header    8668
355        1862       direct_freekick    8668
356        1863                  shot    8549
357        1863                  shot    8472
358        1864              distance   10261
359        1864                  shot    8654
360        1864                  shot    8654
361        1864                header   10261
362        1865                  shot    9879
363        1865                  shot    8655
364        1865                  shot    8655
365        1866                  shot    8462
366        1866                header    8462
367        1867                header   10194
368        1868                header    8528
369        1869              distance    8650
370        1869                header    8668
371        1870                header    8472
372        1870                header   10252
373        1870                header   10252
374        1871                  shot    8462
375        1871                  shot    8586
376        1872                  shot    8654
377        1872              distance    9879
378        1872                  shot    8654
379        1872                header    8654
380        1872                  shot    8654
381        1873              distance    8456
382        1874               penalty    8655
383        1874                  shot    8655
384        1874                  shot    8655
385        1875                header   10260
386        1876             deflected    8659
387        1876             deflected    8659
388        1876                  shot    8659
389        1877                header    9825
390        1877                header    8667
391        1877                  shot    9825
392        1877                  shot    9825
393        1878                  shot   10194
394        1878                header    8455
395        1878              distance    8455
396        1879            loose_ball    8472
397        1880                  shot    8586
398        1880                  shot    8586
399        1880                header    8586
400        1880                  shot   10194
401        1881  saved_back_into_play    8654
402        1881                  shot    8654
403        1881            loose_ball    8654
404        1882                  shot   10260
405        1882            loose_ball   10260
406        1882                  shot   10260
407        1882                header   10260
408        1882                  shot   10260
409        1882                  shot   10260
410        1883                  shot   10252
411        1884                  shot    8650
412        1884       direct_freekick    8528
413        1885                header    8668
414        1885                  shot    9825
415        1886                  shot    8456
416        1886                  shot    8456
417        1886                  shot   10261
418        1887                  shot    8559
419        1887                  shot    8559
420        1887                  shot    8655
421        1887                 saved    8655
422        1887                  shot    8655
423        1888                  shot    8455
424        1888                header    8455
425        1889              distance   10260
426        1891                header    8650
427        1891                  shot    8650
428        1894            loose_ball    8472
429        1894               penalty   10261
430        1894                  shot   10261
